EL (deg);8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-8.69;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36;-17.36
AZ (deg);75;65;55;45;35;25;15;5;-5;-15;-25;-35;-45;-55;-65;-75;-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40;50;60;70;80;75;65;55;45;35;25;15;5;-5;-15;-25;-35;-45;-55;-65;-75;-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40;50;60;70;80
f (GHz);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB)
55;-119.37;-108.02;-112.31;-107.24;-114.92;-100.3;-94.18;-88.6;-84.86;-94.79;-109.5;-103.61;-106.44;-120.2;-109.54;-113.79;-118.92;-107.8;-108.26;-102.13;-104.95;-95.82;-90.85;-86.62;-78.92;-88.79;-96.03;-96.74;-99.36;-111.52;-103.21;-109.55;-115.18;-110.67;-103.57;-109.14;-101.16;-110.09;-100.12;-94.4;-90.71;-86.32;-97.06;-107.21;-102.16;-99.23;-132.93;-104.01;-109.73;-117.29;-105.53;-108.15;-109.03;-114.14;-108.25;-109.72;-103.73;-96.25;-104.36;-110.06;-106.66;-107.21;-126.48;-102.49;-108.76;-112.74
55.1;-128.62;-109.81;-110.5;-108.43;-120.32;-103.04;-95.42;-91.94;-87.3;-96.71;-107.1;-107.63;-108.83;-124.58;-108.82;-111.51;-119.74;-110.97;-110.93;-104.61;-107.34;-97.91;-94.19;-89.11;-83.13;-90.69;-99.97;-99.05;-101.69;-111.14;-106.62;-113.33;-115.14;-113.48;-105.55;-108.32;-105.42;-112.26;-102.55;-97.27;-93.58;-88.92;-97.09;-110.29;-103.33;-102.17;-124.26;-105.46;-113.67;-115.79;-105.52;-108.44;-111;-119.02;-109.61;-112.25;-108.07;-99.05;-108.37;-115;-109.67;-110.46;-128.16;-105.9;-112.95;-114.95
55.2;-124.23;-112.29;-114.54;-110.95;-119.89;-105.5;-97.3;-93.23;-91.68;-100.25;-112.77;-109.27;-110.52;-124.43;-115.27;-130.53;-117.95;-111.21;-110.41;-108.9;-108.44;-100.75;-95.99;-91.42;-83.87;-93.32;-101.91;-101.83;-103.46;-116.48;-108.57;-114.85;-118.04;-117.99;-107.22;-111.36;-108.06;-112.01;-104.82;-98.79;-94.73;-90.51;-98.7;-110.8;-105.5;-103.87;-125.6;-107.6;-113.7;-119.39;-108.61;-109.99;-113.02;-117.96;-113.71;-112.89;-108.31;-100.08;-108.41;-114.3;-111.36;-111.44;-120.85;-105.52;-112.47;-115.12
55.3;-124.9;-112.8;-114.06;-111.63;-116.14;-103.55;-97.73;-93.02;-88.18;-95.56;-104.91;-108.13;-110.94;-121.42;-110.14;-118.92;-129.54;-114.54;-109.38;-107.95;-109.28;-99.02;-95.45;-89.43;-84.6;-91.83;-101.78;-101.22;-103.39;-120.47;-104.97;-110.97;-117.01;-122.9;-106.17;-108.04;-107.32;-113.33;-104.09;-98.87;-94.37;-91.35;-98.29;-109.02;-107.45;-105.65;-119.16;-106.53;-114;-118.32;-108.27;-109;-112.7;-118.63;-111.41;-108.75;-107.73;-101.38;-108.42;-114.39;-111.92;-111.75;-121.21;-105.53;-111.64;-113.67
55.4;-126.47;-111.4;-113.14;-111.04;-115.3;-104.23;-96.67;-91.29;-87.58;-97.14;-106.31;-109.16;-109.42;-119.72;-112.17;-118.75;-120;-111.29;-108.55;-107.44;-105.9;-97.96;-94;-89.26;-82.18;-90.28;-99.62;-100.1;-104.44;-112.37;-106.72;-113.64;-117.21;-132.26;-106.42;-105.19;-106.59;-111.06;-103.48;-98.03;-93.43;-90.12;-96.09;-107.27;-105.71;-102.73;-116.72;-104.66;-112.9;-119.26;-106.75;-107.1;-111.33;-116.05;-112.41;-108.82;-106.43;-99.08;-108.31;-112.4;-111.04;-112.12;-115.54;-105.17;-109.59;-115.71
55.5;-121.91;-106.62;-110.01;-108.86;-113.95;-100.84;-94.93;-89.97;-85.99;-93.7;-104.13;-104.21;-104.54;-120.63;-107.34;-113.24;-114.82;-107.88;-105.53;-105.58;-104.73;-95.15;-91.6;-86.96;-82.52;-88.73;-99.42;-97.07;-99.14;-125.29;-102.46;-112.84;-112.8;-126.44;-102.7;-103.98;-104.73;-110.58;-100.36;-95.77;-91.22;-86.79;-94.21;-105.79;-104.86;-101.49;-112.93;-101.68;-110.53;-116.96;-105.57;-105.28;-109.45;-112.17;-108.24;-105.54;-103.72;-97.99;-106.52;-110.75;-108.6;-110.13;-114.53;-102.28;-107.82;-111.46
55.6;-123.12;-109.76;-106.71;-105.29;-109.58;-97.08;-92.28;-88.13;-84.19;-91.9;-103.04;-107.08;-103.63;-118.84;-108.68;-115.62;-117.58;-104.25;-101.81;-103.94;-102.15;-93.15;-88.14;-84.74;-76.92;-85.85;-96.79;-95.02;-95.97;-120.79;-99.73;-107.62;-114.1;-113.05;-101.11;-98.7;-102.96;-108.34;-97.76;-93.24;-88.4;-83.95;-88.98;-99.47;-103.67;-97.77;-109.39;-99.35;-109.64;-110.1;-101.71;-101.46;-107.55;-110.38;-104.12;-101.23;-98.66;-94.51;-101.49;-106.51;-107.81;-106.22;-112.29;-100.54;-102.44;-110.53
